timestamp,reqType,service,rt,numberOfReqs 
1421672874174,local,checkIfSubtitlesExists,4619,1
1421672874738,local,getDefaultSubtitle,563,1
1421672874738,local,getSubtitles,6675,1
1421672875414,local,applySubtitles,675,1
1421672875414,local,videoProvisioner,38637,1
1421672955322,local,checkIfAvailable,934,1
1421672955722,local,downloadVideo,399,1
1421672955722,local,getVideoResource,1334,1
1421672978062,local,scaleVideo,22339,1
1421672979090,local,transcodeVideo,1027,1
1421672979238,local,bitDepthReduction,147,1
1421672979918,local,checkIfSubtitlesAvailable,679,1
1421672981110,local,checkIfSubtitlesExists,1192,1
1421672983474,local,getDefaultSubtitle,2363,1
1421672983474,local,getSubtitles,4235,1
1421672983510,local,applySubtitles,35,1
1421672983510,local,videoProvisioner,29123,1
1421673067282,local,checkIfAvailable,288,1
1421673071430,local,downloadVideo,4147,1
1421673071430,local,getVideoResource,4436,1
1421673097778,local,scaleVideo,26347,1
1421673099046,local,transcodeVideo,1267,1
1421673103790,local,bitDepthReduction,4743,1
1421673103790,local,videoProvisioner,36797,1
1421673138250,local,checkIfAvailable,1184,1
1421673138338,local,downloadVideo,87,1
1421673138338,local,getVideoResource,1272,1
1421673157914,local,scaleVideo,19575,1
1421673158582,local,transcodeVideo,667,1
1421673160078,local,bitDepthReduction,1495,1
1421673160079,local,videoProvisioner,23013,1
1421661464287,local,checkIfAvailable,1592,1
1421661464926,local,downloadVideo,635,1
1421661464927,local,getVideoResource,2233,1
1421661477726,local,checkIfAvailable,5043,1
1421661477886,local,downloadVideo,159,1
1421661477886,local,getVideoResource,5204,1
1421661490289,local,scaleVideo,25361,1
1421661490858,local,transcodeVideo,568,1
1421661491026,local,bitDepthReduction,167,1
1421661491026,local,videoProvisioner,28333,1
1421661504254,local,scaleVideo,26367,1
1421661504618,local,transcodeVideo,363,1
1421661504894,local,bitDepthReduction,275,1
1421661504894,local,videoProvisioner,32213,1
1421661519510,remote,checkIfAvailable,1809,1
1421661563422,local,checkIfAvailable,721,1
1421661564410,local,downloadVideo,987,1
1421661564410,local,getVideoResource,1709,1
1421661590266,local,scaleVideo,25855,1
1421661590446,local,transcodeVideo,180,1
1421661590561,local,bitDepthReduction,114,1
1421661590562,local,videoProvisioner,27863,1
1421661863201,local,checkIfAvailable,407,1
1421661867782,local,downloadVideo,4580,1
1421661867782,local,getVideoResource,4989,1
1421661878490,remote,checkIfAvailable,2355,1
1421661896010,local,checkIfAvailable,3206,1
1421661898962,local,downloadVideo,2951,1
1421661898963,local,getVideoResource,6160,1
1421661918930,local,scaleVideo,19966,1
1421661919971,local,transcodeVideo,1040,1
1421661921893,local,bitDepthReduction,1921,1
1421661923204,local,checkIfSubtitlesAvailable,1309,1
1421661923638,local,checkIfSubtitlesExists,433,1
1421661926910,local,getDefaultSubtitle,3271,1
1421661926910,local,getSubtitles,5016,1
1421661928846,local,applySubtitles,1935,1
1421661928846,local,videoProvisioner,36044,1
1421661942625,local,scaleVideo,74842,1
1421661942670,local,transcodeVideo,44,1
1421661943273,local,bitDepthReduction,603,1
1421661943274,local,videoProvisioner,80481,1
1421661960908,remote,transcodeVideo,748,1
1421661967898,local,checkIfAvailable,5068,1
1421661968133,local,downloadVideo,235,1
1421661968134,local,getVideoResource,5305,1
1421661976884,local,downloadVideo,184,1
1421661976884,local,getVideoResource,723,1
1421661994091,local,scaleVideo,25956,1
1421661994276,local,transcodeVideo,184,1
1421661996305,local,bitDepthReduction,2028,1
1421661996311,local,videoProvisioner,33488,1
1421661996663,local,checkIfAvailable,3823,1
1421661998591,local,downloadVideo,1926,1
1421661998592,local,getVideoResource,5758,1
1421662004137,local,checkIfAvailable,4627,1
1421662004138,local,getVideoResource,4635,1
1421662010186,local,scaleVideo,33301,1
1421662011753,local,transcodeVideo,1566,1
1421662023738,local,bitDepthReduction,11984,1
1421662024811,local,checkIfSubtitlesAvailable,1067,1
1421662027799,local,checkIfSubtitlesExists,2986,1
1421662028093,local,getDefaultSubtitle,293,1
1421662028794,local,translateSubtitleToLanguage,699,1
1421662028795,local,getSubtitles,5056,1
1421662031902,local,applySubtitles,3107,1
1421662031902,local,videoProvisioner,55741,1
1421662034098,local,scaleVideo,35505,1
1421662034162,local,transcodeVideo,63,1
1421662034330,local,bitDepthReduction,167,1
1421662034330,local,videoProvisioner,41497,1
1421662041170,local,scaleVideo,37031,1
1421662041269,local,transcodeVideo,99,1
1421662042853,local,checkIfSubtitlesAvailable,543,1
1421662046906,local,checkIfSubtitlesExists,4052,1
1421662046906,local,getSubtitles,4597,1
1421662048093,local,checkIfAvailable,1905,1
1421662048946,local,applySubtitles,2039,1
1421662048946,local,videoProvisioner,49444,1
1421662050477,local,downloadVideo,2383,1
1421662050478,local,getVideoResource,4291,1
1421662053042,local,checkIfAvailable,3520,1
1421662053133,local,downloadVideo,90,1
1421662053134,local,getVideoResource,3614,1
1421662073682,local,checkIfAvailable,4144,1
1421662073724,local,downloadVideo,41,1
1421662073726,local,getVideoResource,4198,1
1421662075084,local,scaleVideo,24605,1
1421662076805,local,transcodeVideo,1720,1
1421662077853,local,bitDepthReduction,1046,1
1421662080114,local,scaleVideo,26979,1
1421662080508,local,checkIfSubtitlesAvailable,2649,1
1421662081521,local,transcodeVideo,1403,1
1421662082572,local,bitDepthReduction,1050,1
1421662082573,local,videoProvisioner,33053,1
1421662085114,local,checkIfSubtitlesExists,4605,1
1421662085146,local,getDefaultSubtitle,30,1
1421662085925,local,translateSubtitleToLanguage,778,1
1421662085926,local,getSubtitles,8072,1
1421662086081,local,applySubtitles,154,1
1421662086082,local,videoProvisioner,39896,1
1421662099802,local,scaleVideo,26075,1
1421662100309,local,transcodeVideo,507,1
1421662102117,local,bitDepthReduction,1807,1
1421662102493,local,checkIfSubtitlesAvailable,374,1
1421662102830,local,checkIfSubtitlesExists,335,1
1421662103181,local,getDefaultSubtitle,351,1
1421662103182,local,getSubtitles,1064,1
1421662103273,local,applySubtitles,90,1
1421662103274,local,videoProvisioner,33746,1
1421662108693,local,checkIfAvailable,2484,1
1421662108789,local,downloadVideo,95,1
1421662108790,local,getVideoResource,2582,1
1421662113286,local,checkIfAvailable,408,1
1421662114326,local,downloadVideo,1039,1
1421662114327,local,getVideoResource,1450,1
1421662119474,local,scaleVideo,10683,1
1421662120808,local,transcodeVideo,1334,1
1421662121014,local,bitDepthReduction,205,1
1421662122454,local,checkIfSubtitlesAvailable,1433,1
1421662123798,local,checkIfSubtitlesExists,1343,1
1421662125030,local,getDefaultSubtitle,1231,1
1421662125035,local,getSubtitles,4020,1
1421662125542,local,applySubtitles,506,1
1421662125542,local,videoProvisioner,19334,1
1421662126838,local,checkIfAvailable,623,1
1421662127130,local,downloadVideo,291,1
1421662127131,local,getVideoResource,917,1
1421662134611,local,checkIfAvailable,1724,1
1421662137067,local,downloadVideo,2454,1
1421662137068,local,getVideoResource,4185,1
1421662141678,local,checkIfAvailable,2124,1
1421662145693,local,downloadVideo,4014,1
1421662145694,local,getVideoResource,6142,1
1421662150069,local,checkIfAvailable,1464,1
1421662150468,local,checkIfAvailable,4721,1
1421662150890,local,downloadVideo,421,1
1421662150890,local,getVideoResource,5146,1
1421662153822,local,scaleVideo,39494,1
1421662157461,local,transcodeVideo,3638,1
1421662158140,local,downloadVideo,8070,1
1421662158141,local,getVideoResource,9538,1
1421662162450,local,bitDepthReduction,4988,1
1421662165600,local,checkIfSubtitlesAvailable,3146,1
1421662173202,local,checkIfSubtitlesExists,7601,1
1421662199802,local,getDefaultSubtitle,26599,1
1421662199803,local,getSubtitles,37352,1
1421662200419,local,scaleVideo,73288,1
1421662201991,local,transcodeVideo,1571,1
1421662203213,local,bitDepthReduction,1221,1
1421662203214,local,videoProvisioner,77000,1
1421662203563,local,checkIfAvailable,648,1
1421662204115,local,applySubtitles,4312,1
1421662204116,local,videoProvisioner,91239,1
1421662210305,local,scaleVideo,73236,1
1421662210730,local,transcodeVideo,424,1
1421662210851,local,checkIfAvailable,5076,1
1421662215463,local,downloadVideo,11899,1
1421662215463,local,getVideoResource,12550,1
1421662216507,local,bitDepthReduction,5776,1
1421662216512,local,videoProvisioner,83629,1
1421662220583,local,downloadVideo,9731,1
1421662220584,local,getVideoResource,14811,1
1421662232105,local,scaleVideo,73963,1
1421662232339,local,transcodeVideo,233,1
1421662232432,local,bitDepthReduction,91,1
1421662232433,local,videoProvisioner,83830,1
1421662235025,local,scaleVideo,89331,1
1421662235060,local,scaleVideo,84169,1
1421662235407,local,transcodeVideo,347,1
1421662236167,local,bitDepthReduction,759,1
1421662236168,local,videoProvisioner,90424,1
1421662236510,local,transcodeVideo,1484,1
1421662238945,local,bitDepthReduction,2431,1
1421662240023,local,checkIfSubtitlesAvailable,1073,1
1421662240311,local,checkIfSubtitlesExists,287,1
1421662243511,local,getDefaultSubtitle,3199,1
1421662243512,local,getSubtitles,4565,1
1421662245433,local,applySubtitles,1921,1
1421662245434,local,videoProvisioner,105882,1
1421662261364,local,scaleVideo,45900,1
